"family","species","latitude","longitude","month","year","temperature","precipitation"
"Ramphastidae","Ramphastos sulfuratus",10.436984,-84.70968,12,2017,21.227502822876,3769.966796875
"Trochilidae","Amazilia tzacatl",-0.082003,-78.74246,7,2023,16.3733539581299,3556.57397460938
"Trochilidae","Amazilia tzacatl",10.71653,-85.011375,5,2024,22.2525329589844,3695.4267578125
"Trochilidae","Amazilia tzacatl",5.800715,-75.707055,12,2018,21.9024105072021,2465.9921875
"Psittacidae","Ara macao",1.221827,-70.22854,3,2019,24.529275894165,3425.44165039062
"Trochilidae","Amazilia tzacatl",9.829725,-83.809425,2,2021,18.8777503967285,4029.888671875
"Psittacidae","Ara macao",8.407949,-83.28279,3,2022,26.074535369873,3753.65795898438
"Trochilidae","Amazilia tzacatl",9.038727,-79.52339,12,2024,25.8754558563232,2458.4345703125
"Trochilidae","Amazilia tzacatl",9.83193,-83.5638,11,2023,20.8341503143311,4450.3896484375
"Ramphastidae","Ramphastos sulfuratus",10.148835,-84.41239,10,2024,19.5378761291504,3567.34716796875
"Psittacidae","Ara macao",9.962144,-85.227991,6,2023,25.4690399169922,2323.64404296875
"Trochilidae","Amazilia tzacatl",-1.675616,-80.804634,6,2018,23.018367767334,653.65576171875
