"family","species","latitude","longitude","month","year","temperature","precipitation"
"Trochilidae","Amazilia tzacatl",17.04705,-89.06098,3,2020,25.3534374237061,1652.71606445312
"Ramphastidae","Ramphastos sulfuratus",17.093231,-88.97652,1,2024,24.4710178375244,1890.86608886719
"Trochilidae","Amazilia tzacatl",17.042341,-89.67165,3,2019,25.2476749420166,1661.7158203125
"Trochilidae","Amazilia tzacatl",0.1598,-78.8534,10,2023,19.9018745422363,3939.18139648438
"Ramphastidae","Ramphastos sulfuratus",10.53603,-83.74464,10,2024,25.0130004882812,4554.28955078125
"Trochilidae","Amazilia tzacatl",9.133547,-79.72072,10,2024,25.717378616333,2767.18994140625
"Accipitridae","Harpia harpyja",-0.439735,-76.280334,8,2014,24.9650840759277,3374.60595703125
"Ramphastidae","Ramphastos sulfuratus",10.466929,-84.66742,3,2023,21.227502822876,3769.966796875
"Psittacidae","Ara macao",8.626846,-83.733404,2,2025,25.9809265136719,4015.58959960938
"Trochilidae","Amazilia tzacatl",9.896132,-84.060776,3,2024,18.6667137145996,3088.7099609375
"Ramphastidae","Ramphastos sulfuratus",9.126967,-79.695404,4,2024,25.717378616333,2767.18994140625
"Trochilidae","Amazilia tzacatl",4.817933,-75.80943,5,2021,21.0650119781494,2535.93090820312
"Trochilidae","Amazilia tzacatl",13.237991,-86.056,9,2018,20.6702976226807,1422.10668945312
"Trochilidae","Amazilia tzacatl",5.007124,-74.470375,9,2021,21.2874565124512,1823.70031738281
"Psittacidae","Ara macao",8.694042,-83.6736,3,2020,25.6653347015381,4172.93115234375
"Trochilidae","Amazilia tzacatl",9.001198,-79.50666,3,2024,26.3404903411865,2229.4775390625
"Trochilidae","Amazilia tzacatl",3.537237,-76.616982,8,2017,17.6094875335693,2099.78051757812
"Trochilidae","Amazilia tzacatl",9.623705,-82.66022,10,2015,25.4449348449707,4011.98388671875
"Trochilidae","Amazilia tzacatl",5.042315,-74.4688,3,2022,22.3863010406494,1802.37060546875
"Ramphastidae","Ramphastos sulfuratus",10.499149,-84.95641,3,2023,22.32643699646,3314.21606445312
"Psittacidae","Ara macao",9.74436,-84.62775,8,2022,25.2544860839844,3357.62670898438
"Trochilidae","Amazilia tzacatl",9.86289,-83.621346,8,2024,20.8341503143311,4450.3896484375
"Ramphastidae","Ramphastos sulfuratus",10.344411,-84.51119,4,2024,23.52516746521,3545.59057617188
"Trochilidae","Amazilia tzacatl",9.965965,-83.68192,11,2017,18.3580722808838,4882.888671875
"Trochilidae","Amazilia tzacatl",8.617004,-80.1384,6,2017,22.7288646697998,2847.08911132812
"Ramphastidae","Ramphastos sulfuratus",10.431166,-84.00353,8,2021,24.3582134246826,3935.75463867188
"Ramphastidae","Ramphastos sulfuratus",17.158133,-88.68377,3,2024,25.0457305908203,2214.52905273438
"Trochilidae","Amazilia tzacatl",9.931653,-84.03395,5,2014,18.7922496795654,3090.67211914062
"Trochilidae","Amazilia tzacatl",9.776016,-83.959981,3,2016,17.0529346466064,3547.83569335938
"Trochilidae","Amazilia tzacatl",9.756832,-84.61199,3,2023,25.2544860839844,3357.62670898438
"Trochilidae","Amazilia tzacatl",8.751164,-82.41566,12,2024,19.8566608428955,4843.10888671875
"Trochilidae","Amazilia tzacatl",16.09,-88.83443,3,2012,25.918830871582,3540.21801757812
"Ramphastidae","Ramphastos sulfuratus",10.324288,-84.84321,10,2024,22.1362991333008,3083.7802734375
"Trochilidae","Amazilia tzacatl",9.797792,-84.6182,3,2019,25.2544860839844,3357.62670898438
"Trochilidae","Amazilia tzacatl",10.41562,-84.12078,4,2019,24.0561389923096,3983.61596679688
"Psittacidae","Ara macao",9.271514,-83.880745,3,2023,25.390266418457,6691.88671875
"Trochilidae","Amazilia tzacatl",-2.217108,-79.08668,6,2020,20.5600662231445,2450.61669921875
"Ramphastidae","Ramphastos sulfuratus",10.449535,-84.064186,3,2017,24.0561389923096,3983.61596679688
